epoch	precision	recall	f1
0	0.538281805451534	0.45174663111109253	0.4158604681703393
1	0.7558107553094449	0.7893548377167685	0.7525798140311271
2	0.7764148122936994	0.802927303775637	0.7871134142469149
3	0.7818102823163116	0.8157165856932101	0.7921499991413178
4	0.7956241915868458	0.8019955198062683	0.7964867151868177
5	0.7909835624223168	0.8096149559585879	0.794797797784411
6	0.7966655840984374	0.7962717448973977	0.7921029528833977
7	0.7985851760559074	0.8102055974863214	0.8028959322570401
8	0.7984011405222537	0.8013077122589964	0.7962011680521247
9	0.7871439792645448	0.7980552492108075	0.7849911106078313
10	0.799550929425669	0.8045161636637184	0.7997586028620904
11	0.8053202660759926	0.7961168452791474	0.798292009844714
12	0.8016671080354687	0.8204946349357426	0.8096613337525354
13	0.7996942609292157	0.8266598763700914	0.8093163582421928
14	0.7954123364739388	0.8251718864649753	0.8049658976931273
